ふりがな,山名<山頂名>,都道府県,標高,緯度,経度
いずがたけ,伊豆ヶ岳,埼玉県,851,35度55分37秒,139度09分38秒
かわのりやま,川乗山,東京都,1363,35度51分03秒,139度06分25秒
とりだにやま,酉谷山,埼玉県 東京都,1718,35度53分50秒,139度00分37秒
くもとりやま,雲取山,埼玉県 東京都,2017,35度51分20秒,138度56分38秒
はくせきさん,白石山,埼玉県,2036,35度53分58秒,138度52分41秒
からまつおやま,唐松尾山,埼玉県 山梨県,2109,35度52分04秒,138度50分43秒
おおぼらやま（ひりゅうやま）,大洞山（飛龍山）,埼玉県 山梨県,2077,35度50分24秒,138度53分32秒
けいかんやま（くろかわやま）,鶏冠山（黒川山）,山梨県,1716,35度47分19秒,138度50分09秒
だいぼさつれい,大菩薩嶺,山梨県,2057,35度44分56秒,138度50分44秒
こがねざわやま,小金沢山,山梨県,2014,35度43分01秒,138度51分24秒
がんがはらすりやま,雁ケ腹摺山,山梨県,1874,35度41分13秒,138度53分06秒
ごんげんやま,権現山,山梨県,1312,35度40分04秒,139度01分17秒
ごんげんやま<おうぎやま>,権現山<扇山>,山梨県,1138,35度38分14秒,139度00分50秒
みとうさん,三頭山,東京都,1531,35度44分21秒,139度00分50秒
おおだけさん,大岳山,東京都,1266,35度45分55秒,139度07分49秒
じんばさん（じんばさん）,陣馬山（陣場山）,東京都 神奈川県,855,35度39分08秒,139度10分00秒
たかおさん,高尾山,東京都,599,35度37分31秒,139度14分37秒
きよすみやま<みょうけんやま>,清澄山<妙見山>,千葉県,377,35度09分45秒,140度09分08秒
かのうざん,鹿野山,千葉県,379,35度15分20秒,139度58分18秒
のこぎりやま,鋸山,千葉県,329,35度09分37秒,139度50分27秒
とみさん,富山,千葉県,349,35度05分56秒,139度52分53秒
いよがたけ,伊予ヶ岳,千葉県,336,35度06分26秒,139度54分50秒
あたごやま,愛宕山,千葉県,408,35度06分54秒,139度59分13秒
おおやま,大山,千葉県,193,34度57分51秒,139度46分40秒
おおぐすやま,大楠山,神奈川県,241,35度15分00秒,139度37分41秒
おおやま,大山,神奈川県,1252,35度26分27秒,139度13分53秒
たんざわさん<ひるがたけ>,丹沢山<蛭ヶ岳>,神奈川県,1673,35度29分11秒,139度08分20秒
たんざわさん,丹沢山,神奈川県,1567,35度28分27秒,139度09分46秒
たんざわさん<とうのだけ(とうがたけ)>,丹沢山<塔ノ岳（塔ヶ岳）>,神奈川県,1491,35度27分15秒,139度09分48秒
おおむろやま,大室山,神奈川県 山梨県,1587,35度30分39秒,139度04分07秒
みしょうたいやま,御正体山,山梨県,1681,35度29分13秒,138度55分54秒
こもつるしやま,菰釣山,神奈川県 山梨県,1379,35度27分50秒,138度58分43秒
みつとうげやま,三ッ峠山,山梨県,1785,35度32分57秒,138度48分33秒
くろたけ,黒岳,山梨県,1793,35度33分07秒,138度44分58秒
くろたけ<しゃかがたけ>,黒岳<釈迦ヶ岳>,山梨県,1641,35度33分47秒,138度43分13秒
せっとうがたけ,節刀ヶ岳,山梨県,1736,35度31分43秒,138度41分00秒
ふじさん<けんがみね>,富士山<剣ヶ峯>,山梨県 静岡県,3776,35度21分39秒,138度43分39秒
あしたかやま<えちぜんだけ>,愛鷹山<越前岳>,静岡県,1504,35度14分17秒,138度47分38秒
けなしやま,毛無山,山梨県 静岡県,1964,35度24分57秒,138度32分38秒
てんしがたけ,天子ヶ岳,静岡県,1330,35度19分45秒,138度32分12秒
はこねやま<かみやま>,箱根山<神山>,神奈川県,1438,35度14分00秒,139度01分15秒
はこねやま<きんときざん>,箱根山<金時山>,静岡県 神奈川県,1212,35度17分23秒,139度00分18秒
くろたけ,玄岳,静岡県,798,35度04分54秒,139度01分41秒
おおむろやま,大室山,静岡県,580,34度54分11秒,139度05分41秒
あまぎさん<ばんざぶろうだけ>,天城山<万三郎岳>,静岡県,1406,34度51分46秒,139度00分06秒
だるまやま,達磨山,静岡県,982,34度57分18秒,138度50分21秒
ちょうくろうやま,長九郎山,静岡県,996,34度47分18秒,138度52分05秒
みはらやま<みはらしんざん>,三原山<三原新山>,東京都,758,34度43分28秒,139度23分40秒
みやつかやま,宮塚山,東京都,508,34度31分13秒,139度16分45秒
てんじょうさん,天上山,東京都,572,34度13分10秒,139度09分11秒
おやま,雄山,東京都,775,34度05分37秒,139度31分34秒
おやま,御山,東京都,851,33度52分28秒,139度36分07秒
にしやま（はちじょうふじ）,西山（八丈富士）,東京都,854,33度08分13秒,139度45分58秒
いおうやま,硫黄山,東京都,394,30度29分02秒,140度18分11秒
ちゅうおうざん,中央山,東京都,320,27度04分24秒,142度13分07秒
ちぶさやま,乳房山,東京都,463,26度39分34秒,142度09分41秒
さかきがみね,榊ヶ峰,東京都,792,25度25分41秒,141度16分51秒
すりばちやま（ぱいぷやま）,摺鉢山（パイプ山）,東京都,170,24度45分02秒,141度17分21秒
[みなみいおうとう],[南硫黄島],東京都,916,24度14分02秒,141度27分48秒
きんぽくさん,金北山,新潟県,1172,38度06分14秒,138度20分59秒
おおじやま,大地山,新潟県,646,37度57分31秒,138度28分47秒
やひこやま,弥彦山,新潟県,634,37度42分17秒,138度48分32秒
よねやま,米山,新潟県,993,37度17分22秒,138度29分02秒
くろひめさん,黒姫山,新潟県,891,37度13分34秒,138度35分32秒
ひしがたけ,菱ヶ岳,新潟県,1129,37度01分56秒,138度29分36秒
まだらおやま,斑尾山,長野県,1382,36度50分15秒,138度16分28秒
ほこがたけ,鉾ヶ岳,新潟県,1316,37度01分43秒,138度01分35秒
こまがたけ,駒ヶ岳,新潟県,1498,36度56分34秒,137度56分54秒
のこぎりだけ,鋸岳,新潟県,1631,36度55分55秒,137度58分08秒
やけやま,焼山,新潟県,2400,36度55分15秒,138度02分09秒
あまかざりやま,雨飾山,新潟県 長野県,1963,36度54分07秒,137度57分45秒
ひうちやま,火打山,新潟県,2462,36度55分22秒,138度04分05秒
みょうこうさん,妙高山,新潟県,2454,36度53分29秒,138度06分48秒
くろひめやま,黒姫山,長野県,2053,36度48分48秒,138度07分38秒
たかつまやま,高妻山,新潟県 長野県,2353,36度48分00秒,138度03分07秒
とがくしやま,戸隠山,長野県,1904,36度46分13秒,138度03分18秒
いいづなやま（いいづなやま）,飯縄山（飯綱山）,長野県,1917,36度44分22秒,138度08分01秒
むしくらやま,虫倉山,長野県,1378,36度38分59秒,138度01分09秒
ひじりやま,聖山,長野県,1447,36度29分03秒,138度01分17秒
かむりきやま（おばすてやま）,冠着山（姨捨山）,長野県,1252,36度28分08秒,138度06分24秒
うつくしがはら<おうがとう>,美ヶ原<王ヶ頭>,長野県,2034,36度13分33秒,138度06分27秒
はちぶせやま,鉢伏山,長野県,1929,36度09分47秒,138度03分33秒
きりがみね<くるまやま>,霧ヶ峰<車山>,長野県,1925,36度06分11秒,138度11分48秒
たてしなやま,蓼科山,長野県,2531,36度06分13秒,138度17分42秒
よこだけ,横岳,長野県,2480,36度05分15秒,138度19分12秒
しまがれやま,縞枯山,長野県,2403,36度04分32秒,138度19分52秒
てんぐだけ,天狗岳,長野県,2646,36度01分09秒,138度21分20秒
みねのまつめ,峰の松目,長野県,2568,35度59分49秒,138度21分02秒
いおうだけ,硫黄岳,長野県,2760,35度59分55秒,138度22分12秒
よこだけ,横岳,長野県,2830,35度59分09秒,138度22分22秒
あかだけ,赤岳,長野県 山梨県,2899,35度58分15秒,138度22分12秒
あみだだけ,阿弥陀岳,長野県,2805,35度58分20秒,138度21分32秒
ごんげんだけ,権現岳,山梨県,2715,35度56分59秒,138度21分35秒
ごんげんだけ<にしだけ>,権現岳<西岳>,長野県,2398,35度57分00秒,138度20分06秒
ごんげんだけ<みつがしら>,権現岳<三ッ頭>,山梨県,2580,35度56分32秒,138度21分50秒
あみがさやま,編笠山,山梨県 長野県,2524,35度56分30秒,138度20分42秒
くろひめやま,黒姫山,新潟県,1221,36度58分36秒,137度47分24秒
みょうじょうさん,明星山,新潟県,1188,36度56分27秒,137度49分19秒
いぬがだけ,犬ヶ岳,新潟県 富山県,1592,36度54分25秒,137度42分56秒
あさひだけ,朝日岳,新潟県 富山県,2418,36度49分36秒,137度43分48秒
ゆきくらだけ,雪倉岳,新潟県 富山県,2611,36度47分41秒,137度45分15秒
はちがたけ,鉢ヶ岳,新潟県 富山県,2563,36度46分49秒,137度44分58秒
これんげさん,小蓮華山,新潟県 長野県,2766,36度46分25秒,137度46分34秒
のりくらだけ,乗鞍岳,新潟県 長野県,2469,36度47分19秒,137度47分57秒
かざふきだけ,風吹岳,長野県,1888,36度48分51秒,137度50分20秒
しろうまだけ,白馬岳,富山県 長野県,2932,36度45分31秒,137度45分31秒
あさひだけ,旭岳,富山県,2867,36度45分28秒,137度44分45秒
しょうずだけ,清水岳,富山県,2603,36度45分53秒,137度43分08秒
しゃくしだけ,杓子岳,富山県 長野県,2812,36度44分26秒,137度45分33秒
やりがたけ,鑓ヶ岳,富山県 長野県,2903,36度43分53秒,137度45分19秒
からまつだけ,唐松岳,富山県 長野県,2696,36度41分14秒,137度45分17秒
ごりゅうだけ,五龍岳,富山県,2814,36度39分30秒,137度45分10秒
かしまやりがたけ,鹿島槍ヶ岳,富山県 長野県,2889,36度37分28秒,137度44分49秒
じいがたけ,爺ヶ岳,富山県 長野県,2670,36度35分18秒,137度45分03秒
いわごやざわだけ,岩小屋沢岳,富山県 長野県,2630,36度34分37秒,137度42分48秒
なるさわだけ,鳴沢岳,富山県 長野県,2641,36度34分07秒,137度41分44秒
あかざわだけ,赤沢岳,富山県 長野県,2678,36度33分43秒,137度41分15秒
すばりだけ,スバリ岳,富山県 長野県,2752,36度32分39秒,137度41分06秒
はりのきだけ,針ノ木岳,富山県 長野県,2821,36度32分17秒,137度41分04秒
れんげだけ,蓮華岳,富山県 長野県,2799,36度32分09秒,137度42分38秒
きたくずだけ,北葛岳,富山県 長野県,2551,36度31分03秒,137度42分20秒
ふどうだけ,不動岳,富山県 長野県,2601,36度29分43秒,137度40分02秒
みなみさわだけ,南沢岳,富山県 長野県,2626,36度29分24秒,137度39分11秒
えぼしだけ,烏帽子岳,富山県 長野県,2628,36度28分46秒,137度39分03秒
みつだけ,三ッ岳,富山県 長野県,2845,36度27分17秒,137度38分58秒
のぐちごろうだけ,野口五郎岳,富山県 長野県,2924,36度25分58秒,137度38分16秒
みなみまさごだけ,南真砂岳,長野県,2713,36度24分48秒,137度38分30秒
あかうしだけ,赤牛岳,富山県,2864,36度27分42秒,137度36分12秒
すいしょうだけ（くろだけ）,水晶岳（黒岳）,富山県,2986,36度25分35秒,137度36分10秒
じいだけ,祖父岳,富山県,2825,36度24分40秒,137度35分28秒
わしばだけ,鷲羽岳,富山県 長野県,2924,36度24分11秒,137度36分19秒
みつまたれんげだけ,三俣蓮華岳,富山県 岐阜県 長野県,2841,36度23分24秒,137度35分16秒
そうがだけ,僧ヶ岳,富山県,1855,36度45分42秒,137度33分49秒
けかつやま,毛勝山,富山県,2415,36度42分04秒,137度35分27秒
ねこまたやま,猫又山,富山県,2378,36度40分52秒,137度35分25秒
いけのだいらやま,池平山,富山県,2561,36度38分28秒,137度37分33秒
つるぎだけ,剱岳,富山県,2999,36度37分24秒,137度37分01秒
べっさん,別山,富山県,2880,36度35分51秒,137度37分13秒
つるぎごぜん,剱御前,富山県,2777,36度36分09秒,137度36分32秒
おくだいにちだけ,奥大日岳,富山県,2611,36度35分54秒,137度34分51秒
だいにちだけ,大日岳,富山県,2501,36度35分58秒,137度33分00秒
まさごだけ,真砂岳,富山県,2861,36度35分12秒,137度37分12秒
たてやま<おおなんじやま>,立山<大汝山>,富山県,3015,36度34分33秒,137度37分11秒
くにみだけ,国見岳,富山県,2621,36度34分16秒,137度35分23秒
りゅうおうだけ,龍王岳,富山県,2872,36度33分53秒,137度36分26秒
りゅうおうだけ<じょうどさん>,龍王岳<浄土山>,富山県,2831,36度34分06秒,137度36分13秒
わしだけ,鷲岳,富山県,2617,36度32分31秒,137度35分14秒
とんびやま,鳶山,富山県,2616,36度32分03秒,137度35分09秒
えっちゅうざわだけ,越中沢岳,富山県,2592,36度30分54秒,137度34分59秒
くわさきやま,鍬崎山,富山県,2090,36度32分24秒,137度28分41秒
やくしだけ,薬師岳,富山県,2926,36度28分08秒,137度32分41秒
きたのまただけ（かみのだけ）,北ノ俣岳（上ノ岳）,富山県 岐阜県,2662,36度25分16秒,137度30分44秒
くろべごろうだけ（なかのまただけ）,黒部五郎岳（中ノ俣岳）,富山県 岐阜県,2840,36度23分33秒,137度32分24秒
すごろくだけ,双六岳,長野県 岐阜県,2860,36度22分19秒,137度35分14秒
もみさわだけ,樅沢岳,長野県 岐阜県,2755,36度22分00秒,137度36分28秒
ゆみおりだけ,弓折岳,岐阜県,2592,36度20分58秒,137度35分48秒
ぬけどだけ,抜戸岳,岐阜県,2813,36度19分40秒,137度34分30秒
かさがたけ,笠ヶ岳,岐阜県,2898,36度18分56秒,137度33分01秒
しゃくじょうだけ,錫杖岳,岐阜県,2168,36度16分55秒,137度32分50秒
いおうだけ,硫黄岳,長野県,2554,36度22分50秒,137度39分02秒
からさわだけ,唐沢岳,長野県,2633,36度27分40秒,137度43分00秒
がきだけ,餓鬼岳,長野県,2647,36度26分50秒,137度44分10秒
つばくろだけ,燕岳,長野県,2763,36度24分25秒,137度42分46秒
ありあけやま,有明山,長野県,2268,36度23分28秒,137度46分14秒
だいてんじょうだけ,大天井岳,長野県,2922,36度21分54秒,137度42分04秒
ひがしてんじょうだけ,東天井岳,長野県,2814,36度21分12秒,137度42分56秒
よことおしだけ,横通岳,長野県,2767,36度20分33秒,137度43分37秒
じょうねんだけ,常念岳,長野県,2857,36度19分32秒,137度43分39秒
ちょうがたけ,蝶ヶ岳,長野県,2677,36度17分15秒,137度43分34秒
おおたきやま,大滝山,長野県,2616,36度16分27秒,137度44分36秒
あかいわだけ,赤岩岳,長野県,2769,36度20分36秒,137度41分03秒
にしだけ,西岳,長野県,2758,36度20分14秒,137度40分46秒
あかさわやま,赤沢山,長野県,2670,36度19分45秒,137度40分47秒
やりがたけ,槍ヶ岳,長野県,3180,36度20分31秒,137度38分51秒
おおばみだけ,大喰岳,長野県 岐阜県,3101,36度20分09秒,137度38分45秒
なかだけ,中岳,長野県 岐阜県,3084,36度19分47秒,137度38分48秒
みなみだけ,南岳,長野県 岐阜県,3033,36度19分08秒,137度39分03秒
きたほたかだけ,北穂高岳,長野県 岐阜県,3106,36度18分09秒,137度39分07秒
からさわだけ,涸沢岳,長野県 岐阜県,3110,36度17分45秒,137度38分49秒
おくほたかだけ,奥穂高岳,長野県 岐阜県,3190,36度17分21秒,137度38分53秒
まえほたかだけ,前穂高岳,長野県,3090,36度16分55秒,137度39分38秒
にしほたかだけ,西穂高岳,長野県 岐阜県,2909,36度16分44秒,137度37分45秒
やけだけ,焼岳,長野県 岐阜県,2455,36度13分37秒,137度35分13秒
かすみざわだけ,霞沢岳,長野県,2646,36度13分16秒,137度38分26秒
じゅっこくやま,十石山,長野県 岐阜県,2525,36度09分49秒,137度35分26秒
てらしやま,輝山,岐阜県,2063,36度11分39秒,137度31分20秒
のりくらだけ<けんがみね>,乗鞍岳<剣ヶ峰>,岐阜県 長野県,3026,36度06分23秒,137度33分13秒
かまがみね,鎌ヶ峰,長野県 岐阜県,2121,36度01分36秒,137度35分57秒
はちもりやま,鉢盛山,長野県,2447,36度05分12秒,137度45分17秒
おんたけさん<けんがみね>,御嶽山<剣ヶ峰>,長野県,3067,35度53分34秒,137度28分49秒
こひでやま,小秀山,長野県 岐阜県,1982,35度47分08秒,137度23分49秒
おくさんがいだけ,奥三界岳,岐阜県 長野県,1811,35度40分54秒,137度30分26秒
おしろやま,尾城山,岐阜県,1133,35度41分45秒,137度20分38秒
ふたつもりやま,二ッ森山,岐阜県,1223,35度34分19秒,137度24分01秒
きょうがたけ,経ヶ岳,長野県,2296,35度54分46秒,137度51分45秒
おおだないりやま,大棚入山,長野県,2375,35度50分53秒,137度48分36秒
しょうぎがしらやま,将棊頭山,長野県,2730,35度48分12秒,137度49分37秒
しょうぎがしらやま<ちゃうすやま>,将棊頭山<茶臼山>,長野県,2658,35度48分53秒,137度49分18秒
こまがたけ,駒ヶ岳,長野県,2956,35度47分22秒,137度48分16秒
こまがたけ<ほうけんだけ>,駒ヶ岳<宝剣岳>,長野県,2931,35度46分53秒,137度48分33秒
こまがたけ<むぎくさだけ>,駒ヶ岳<麦草岳>,長野県,2733,35度47分48秒,137度47分10秒
さんのさわだけ,三沢岳,長野県,2847,35度46分00秒,137度47分39秒
ひのきおだけ,檜尾岳,長野県,2728,35度45分07秒,137度48分48秒
くまざわだけ,熊沢岳,長野県,2778,35度44分21秒,137度48分12秒
ひがしかわだけ,東川岳,長野県,2671,35度43分31秒,137度48分20秒
うつぎだけ,空木岳,長野県,2864,35度43分08秒,137度49分02秒
みなみこまがたけ,南駒ヶ岳,長野県,2841,35度42分05秒,137度48分39秒
みなみこまがたけ<あかなぎだけ>,南駒ヶ岳<,長野県,2798,35度42分22秒,137度48分56秒
せんがいれい,仙涯嶺,長野県,2734,35度41分32秒,137度48分49秒
こすもやま,越百山,長野県,2614,35度40分46秒,137度48分12秒
あんぺいじやま,安平路山,長野県,2363,35度37分50秒,137度46分28秒
すりこぎやま,摺古木山,長野県,2169,35度36分46秒,137度44分15秒
なぎそだけ,南木曽岳,長野県,1679,35度35分33秒,137度38分39秒
かざこしやま（ごんげんやま）,風越山（権現山）,長野県,1535,35度32分58秒,137度47分02秒
えなさん,恵那山,長野県 岐阜県,2191,35度26分37秒,137度35分50秒
もりやさん,守屋山,長野県,1651,35度58分03秒,138度05分36秒
にゅうがさやま,入笠山,長野県,1955,35度53分47秒,138度10分18秒
のこぎりだけ,鋸岳,山梨県 長野県,2685,35度46分44秒,138度12分36秒
こまがたけ,駒ヶ岳,山梨県 長野県,2967,35度45分29秒,138度14分12秒
こまつみね,駒津峰,山梨県 長野県,2752,35度45分17秒,138度13分51秒
ふたごやま,双児山,山梨県 長野県,2649,35度45分03秒,138度13分17秒
あさよみね,アサヨ峰,山梨県,2799,35度43分54秒,138度14分29秒
あさよみね<くりさわやま>,アサヨ峰<栗沢山>,山梨県,2714,35度44分17秒,138度14分03秒
たかみね,高嶺,山梨県,2779,35度42分35秒,138度17分16秒
じぞうがたけ,地蔵ヶ岳,山梨県,2764,35度42分44秒,138度17分55秒
かんのんがだけ,観音ヶ岳,山梨県,2841,35度42分06秒,138度18分17秒
やくしがだけ,薬師ヶ岳,山梨県,2780,35度41分46秒,138度18分42秒
つじやま,辻山,山梨県,2585,35度40分35秒,138度19分19秒
くしがたやま,櫛形山,山梨県,2052,35度35分12秒,138度22分09秒
せんじょうがたけ,仙丈ヶ岳,山梨県 長野県,3033,35度43分12秒,138度11分01秒
いなあらくらだけ,伊那荒倉岳,山梨県 長野県,2519,35度41分21秒,138度11分39秒
こたろうやま,小太郎山,山梨県,2725,35度42分03秒,138度14分24秒
きただけ,北岳,山梨県,3193,35度40分28秒,138度14分20秒
あいのだけ,間ノ岳,山梨県 静岡県,3190,35度38分46秒,138度13分42秒
のうとりだけ<にしのうとりだけ>,農鳥岳<西農鳥岳>,山梨県 静岡県,3051,35度37分29秒,138度13分49秒
のうとりだけ,農鳥岳,山梨県 静岡県,3026,35度37分16秒,138度14分13秒
おおからまつやま,大唐松山,山梨県,2561,35度37分18秒,138度16分10秒
ひろごうちだけ,広河内岳,山梨県 静岡県,2895,35度36分22秒,138度14分09秒
おおかごだけ,大籠岳,山梨県 静岡県,2767,35度35分35秒,138度14分36秒
ささやま,笹山,山梨県 静岡県,2733,35度34分16秒,138度14分38秒
くろべいやま,黒檜山,長野県,2541,35度38分40秒,138度11分10秒
あべあらくらだけ,安倍荒倉岳,長野県 静岡県,2693,35度37分23秒,138度12分11秒
しんじゃぬけやま,新蛇抜山,長野県 静岡県,2667,35度36分26秒,138度12分19秒
きたあらかわだけ,北荒川岳,長野県,2698,35度35分41秒,138度11分40秒
しおみだけ,塩見岳,長野県 静岡県,3052,35度34分23秒,138度11分01秒
こうもりだけ,蝙蝠岳,静岡県,2865,35度33分25秒,138度12分26秒
とくえもんだけ,徳右衛門岳,静岡県,2599,35度32分22秒,138度13分35秒
ほんたにやま,本谷山,長野県 静岡県,2658,35度34分15秒,138度09分06秒
とくらやま（いなふじ）,戸倉山（伊那富士）,長野県,1681,35度44分42秒,138度03分07秒
えぼしだけ,烏帽子岳,長野県 静岡県,2726,35度33分13秒,138度09分13秒
こごうちだけ,小河内岳,長野県 静岡県,2802,35度32分16秒,138度09分11秒
こひかげやま,小日影山,長野県,2506,35度31分31秒,138度07分35秒
おおひかげやま,大日影山,長野県 静岡県,2573,35度31分20秒,138度08分18秒
いたやだけ,板屋岳,長野県 静岡県,2646,35度31分05秒,138度08分46秒
ひがしだけ（わるさわだけ）,東岳（悪沢岳）,静岡県,3141,35度30分03秒,138度10分57秒
あらかわだけ<なかだけ>,荒川岳<中岳>,静岡県,3084,35度29分48秒,138度10分01秒
あらかわだけ<まえだけ>,荒川岳<前岳>,長野県 静岡県,3068,35度29分39秒,138度09分51秒
あかいしだけ,赤石岳,長野県 静岡県,3121,35度27分40秒,138度09分26秒
おくちゃうすやま,奥茶臼山,長野県,2474,35度29分06秒,138度04分09秒
きめんざん,鬼面山,長野県,1890,35度29分31秒,137度59分25秒
おおさわだけ,大沢岳,長野県 静岡県,2820,35度26分56秒,138度07分13秒
なかもりまるやま,中盛丸山,長野県 静岡県,2807,35度26分34秒,138度07分19秒
うさぎだけ,兎岳,長野県 静岡県,2818,35度25分43秒,138度07分16秒
ひじりだけ<まえひじりだけ>,聖岳<前聖岳>,長野県 静岡県,3013,35度25分22秒,138度08分23秒
かみこうちだけ,上河内岳,静岡県,2803,35度23分23秒,138度09分10秒
ちゃうすだけ,茶臼岳,長野県 静岡県,2604,35度22分09秒,138度08分26秒
にっただけ,仁田岳,静岡県,2524,35度21分39秒,138度07分38秒
てかりだけ,光岳,静岡県 長野県,2592,35度20分17秒,138度05分02秒
いけぐちだけ,池口岳,長野県 静岡県,2392,35度19分49秒,138度02分18秒
しらくらやま,白倉山,長野県 静岡県,1851,35度18分06秒,137度59分32秒
くまぶしやま,熊伏山,長野県,1654,35度15分48秒,137度53分42秒
だいむげんざん,大無間山,静岡県,2330,35度15分22秒,138度09分42秒
ふどうがたけ,不動岳,静岡県,2172,35度14分08秒,138度02分28秒
くろぼうしがたけ,黒法師岳,静岡県,2068,35度11分46秒,138度01分46秒
そばつぶやま,蕎麦粒山,静岡県,1627,35度07分34秒,138度02分07秒
たかつかやま,高塚山,静岡県,1621,35度06分56秒,138度00分13秒
きょうまるやま,京丸山,静岡県,1470,35度05分46秒,137度57分57秒
あきはさん,秋葉山,静岡県,885,34度58分54秒,137度51分58秒
はっこうさん,八高山,静岡県,832,34度54分27秒,138度03分24秒
ざるがたけ,笊ヶ岳,山梨県 静岡県,2629,35度25分27秒,138度15分34秒
ぬのびきやま,布引山,山梨県 静岡県,2584,35度24分31秒,138度15分30秒
あおなぎやま,青薙山,静岡県,2406,35度22分11秒,138度13分43秒
みのぶさん,身延山,山梨県,1153,35度23分51秒,138度24分59秒
しちめんざん,七面山,山梨県,1989,35度22分10秒,138度20分56秒
やんぶし,山伏,山梨県 静岡県,2013,35度18分16秒,138度17分07秒
じゅうまいざん,十枚山,静岡県 山梨県,1726,35度15分13秒,138度22分41秒
しのいさん,篠井山,山梨県,1394,35度14分52秒,138度25分35秒
[たかどっきょう],[高ドッキョウ],山梨県 静岡県,1133,35度10分43秒,138度26分17秒
りゅうそうざん,竜爪山,静岡県,1051,35度05分18秒,138度24分13秒
くのうざん,久能山,静岡県,216,34度57分58秒,138度28分05秒
ちゃうすやま,茶臼山,長野県 愛知県,1416,35度13分39秒,137度39分20秒
たかのすやま,鷹ノ巣山,愛知県,1153,35度09分09秒,137度29分42秒
ほうらいじさん,鳳来寺山,愛知県,695,34度59分03秒,137度34分58秒
ほんぐうさん,本宮山,愛知県,789,34度54分35秒,137度25分14秒
さなげやま,猿投山,愛知県,629,35度12分21秒,137度10分01秒
きんかざん,金華山,岐阜県,329,35度26分00秒,136度46分53秒
ほうりゅうざん,宝立山,石川県,471,37度25分43秒,137度09分45秒
はちぶせやま,鉢伏山,石川県,544,37度22分40秒,136度58分15秒
せきどうさん,石動山,石川県,564,36度57分56秒,136度58分15秒
ほうだつさん,宝達山,石川県,637,36度46分55秒,136度48分47秒
ふたがみやま,二上山,富山県,274,36度47分24秒,137度00分55秒
うしだけ,牛岳,富山県,987,36度32分28秒,137度01分54秒
しらきみね,白木峰,富山県 岐阜県,1596,36度24分56秒,137度06分44秒
こんごうどうざん,金剛堂山,富山県,1650,36度22分44秒,137度02分56秒
にんぎょうやま,人形山,岐阜県 富山県,1726,36度20分56秒,136度56分23秒
みつがつじやま,三ヶ辻山,岐阜県,1764,36度20分17秒,136度57分00秒
さるがばばやま,猿ヶ馬場山,岐阜県,1875,36度13分33秒,136度56分34秒
ごぜんだけ,御前岳,岐阜県,1816,36度11分53秒,136度57分37秒
おおあまみやま,大雨見山,岐阜県,1336,36度15分12秒,137度17分55秒
くらいやま,位山,岐阜県,1529,36度02分18秒,137度11分48秒
かおれだけ,川上岳,岐阜県,1625,36度00分30秒,137度08分58秒
わしがたけ,鷲ヶ岳,岐阜県,1671,35度56分25秒,136度58分17秒
やおとめやま,八乙女山,富山県,756,36度32分26秒,136度58分59秒
たかしょうずやま,高清水山,富山県,1145,36度28分38秒,136度56分34秒
いおうぜん<おくいおうぜん>,医王山<奥医王山>,富山県 石川県,939,36度30分46秒,136度47分46秒
くちさんぼうだけ,口三方岳,石川県,1269,36度22分24秒,136度42分56秒
たかさぶろうやま,高三郎山,石川県,1445,36度22分16秒,136度46分25秒
だいもんざん,大門山,富山県 石川県,1572,36度21分55秒,136度48分13秒
おおがさやま,大笠山,富山県 石川県,1822,36度19分14秒,136度47分23秒
おいずるがだけ,笈ヶ岳,富山県 石川県 岐阜県,1841,36度17分55秒,136度47分32秒
さんぽういわだけ,三方岩岳,石川県 岐阜県,1736,36度15分29秒,136度50分40秒
さんぽうくずれやま,三方崩山,岐阜県,2059,36度10分44秒,136度51分37秒
ななくらやま,七倉山,石川県,2557,36度10分16秒,136度45分31秒
はくさん<ごぜんがみね>,白山<御前峰>,石川県 岐阜県,2702,36度09分18秒,136度46分17秒
はくさんしゃかだけ,白山釈迦岳,石川県,2053,36度09分08秒,136度44分08秒
べっさん,別山,石川県 岐阜県,2399,36度06分20秒,136度45分57秒
がんきょうじやま,願教寺山,福井県 岐阜県,1691,36度03分25秒,136度44分23秒
のぶせがだけ,野伏ヶ岳,岐阜県 福井県,1674,36度00分46秒,136度43分57秒
だいにちがたけ,大日ヶ岳,岐阜県,1709,36度00分05秒,136度50分16秒
あかうさぎやま,赤兎山,福井県 石川県,1629,36度04分03秒,136度39分43秒
きょうがだけ,経ヶ岳,福井県,1625,36度02分47秒,136度37分19秒
わっそうがたけ,鷲走ヶ岳,石川県,1097,36度15分57秒,136度36分56秒
だいにちざん,大日山,石川県,1368,36度09分43秒,136度29分35秒
ふじしゃがだけ,富士写ヶ岳,石川県,942,36度11分19秒,136度21分50秒
じょうほうじやま,浄法寺山,福井県,1053,36度07分30秒,136度23分34秒
くにみだけ,国見岳,福井県,656,36度04分45秒,136度05分02秒
ひのさん,日野山,福井県,794,35度51分33秒,136度12分27秒
へこさん,部子山,福井県,1464,35度53分10秒,136度26分21秒
あらしまだけ,荒島岳,福井県,1523,35度56分03秒,136度36分05秒
へいけがだけ,平家岳,福井県,1442,35度48分36秒,136度43分08秒
こうがさん,高賀山,岐阜県,1224,35度40分19秒,136度51分33秒
びょうぶざん,,福井県 岐阜県,1354,35度47分49秒,136度37分36秒
